root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,LB_wheel_yaw_joint,LB_wheel_pitch_joint,RB_wheel_yaw_joint,RB_wheel_pitch_joint,knee_joint,leg_joint,waist_pitch_joint,waist_yaw_joint,zarm_l1_joint,zarm_l2_joint,zarm_l3_joint,zarm_l4_joint,zarm_l5_joint,zarm_l6_joint,zarm_l7_joint,zarm_r1_joint,zarm_r2_joint,zarm_r3_joint,zarm_r4_joint,zarm_r5_joint,zarm_r6_joint,zarm_r7_joint,zhead_1_joint,zhead_2_joint
-2.044985055923461914e+00,-2.219713926315307617e+00,7.631435990333557129e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.557947933673858643e-02,-4.643078890115281965e-12,4.294221475720405579e-02,1.176339834928512573e-01,-1.050210371613502502e-01,1.758469790220260620e-01,-1.249628067016601562e-01,-3.653217852115631104e-01,2.874340303242206573e-02,-6.718368083238601685e-02,-1.736785769462585449e-01,-7.148405909538269043e-02,-1.938077956438064575e-01,-6.296279607340693474e-04,-2.943120598793029785e-01,-8.354982733726501465e-02,7.650475949048995972e-03,-1.042870804667472839e-01,-1.300478447228670120e-02,4.914079606533050537e-02
-2.045199394226074219e+00,-2.219802141189575195e+00,7.675009369850158691e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.648321241140365601e-02,-2.321539770318292728e-13,4.384595155715942383e-02,1.153592392802238464e-01,-1.043514311313629150e-01,1.762984395027160645e-01,-1.259075254201889038e-01,-3.692668080329895020e-01,2.816266193985939026e-02,-6.825821846723556519e-02,-1.745262891054153442e-01,-7.065087556838989258e-02,-1.981686502695083618e-01,2.018469385802745819e-03,-2.975296378135681152e-01,-7.997098565101623535e-02,8.846212178468704224e-03,-1.041517779231071472e-01,-1.435538101941347122e-02,4.760153964161872864e-02
-2.045581817626953125e+00,-2.220070362091064453e+00,7.703261375427246094e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.736410200595855713e-02,-1.160774628543650988e-14,4.472683742642402649e-02,1.119608208537101746e-01,-1.037941575050354004e-01,1.768901050090789795e-01,-1.268054991960525513e-01,-3.730438053607940674e-01,2.757877670228481293e-02,-6.929198652505874634e-02,-1.753305643796920776e-01,-7.006252557039260864e-02,-2.019765228033065796e-01,5.079311318695545197e-03,-3.006262481212615967e-01,-7.620176672935485840e-02,1.031358912587165833e-02,-1.039569377899169922e-01,-1.748594082891941071e-02,4.665292426943778992e-02
-2.045471429824829102e+00,-2.219762325286865234e+00,7.761896848678588867e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.704068720340728760e-02,-3.234149771742522717e-04,4.440342262387275696e-02,1.055458933115005493e-01,-1.016568392515182495e-01,1.778125464916229248e-01,-1.275779604911804199e-01,-3.792699575424194336e-01,2.679506130516529083e-02,-7.118286192417144775e-02,-1.762872934341430664e-01,-6.967118382453918457e-02,-2.070261090993881226e-01,8.049060590565204620e-03,-3.067074716091156006e-01,-7.087131589651107788e-02,1.411075145006179810e-02,-1.037843301892280579e-01,-2.247525565326213837e-02,4.221149533987045288e-02
-2.043723583221435547e+00,-2.217023134231567383e+00,7.818033695220947266e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.525677233934402466e-02,-2.107328735291957855e-03,4.261951148509979248e-02,9.007474035024642944e-02,-9.628903120756149292e-02,1.807468831539154053e-01,-1.238500997424125671e-01,-3.860143423080444336e-01,3.138981759548187256e-02,-7.079926133155822754e-02,-1.776462346315383911e-01,-7.416752725839614868e-02,-2.013249397277832031e-01,-1.037939079105854034e-02,-3.160947561264038086e-01,-8.381802588701248169e-02,1.634862460196018219e-02,-1.043356731534004211e-01,-2.731756120920181274e-02,3.824292123317718506e-02
-2.045214176177978516e+00,-2.218563079833984375e+00,7.863786816596984863e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.585449516773223877e-02,-1.509603695012629032e-03,4.321723431348800659e-02,7.733502238988876343e-02,-9.120966494083404541e-02,1.851433962583541870e-01,-1.209985315799713135e-01,-3.925417363643646240e-01,3.500511869788169861e-02,-6.957080960273742676e-02,-1.792932450771331787e-01,-7.950343191623687744e-02,-1.951901018619537354e-01,-3.059829771518707275e-02,-3.263210058212280273e-01,-9.931562840938568115e-02,1.666129007935523987e-02,-1.082830205559730530e-01,-2.877141349017620087e-02,3.522986546158790588e-02
-2.045319557189941406e+00,-2.218686103820800781e+00,7.904543280601501465e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.692876458168029785e-02,-4.353310505393892527e-04,4.429150745272636414e-02,7.610508799552917480e-02,-9.001214802265167236e-02,1.863071322441101074e-01,-1.196453794836997986e-01,-3.949038386344909668e-01,3.675518929958343506e-02,-6.910148262977600098e-02,-1.799428164958953857e-01,-7.951428741216659546e-02,-1.918541938066482544e-01,-3.469971194863319397e-02,-3.281366527080535889e-01,-1.039678007364273071e-01,1.837355829775333405e-02,-1.083172112703323364e-01,-2.890662476420402527e-02,3.439080715179443359e-02
-2.046283245086669922e+00,-2.219198465347290039e+00,8.018444180488586426e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.895269244909286499e-02,-1.088327621800999623e-06,4.631543532013893127e-02,7.702702283859252930e-02,-8.831276744604110718e-02,1.888000667095184326e-01,-1.181989461183547974e-01,-3.994625508785247803e-01,3.941318392753601074e-02,-6.807368248701095581e-02,-1.810057759284973145e-01,-8.011982589960098267e-02,-1.876165121793746948e-01,-4.238202422857284546e-02,-3.320178687572479248e-01,-1.121741011738777161e-01,2.052983827888965607e-02,-1.083709970116615295e-01,-2.268408983945846558e-02,3.510504961013793945e-02
-2.046568155288696289e+00,-2.219455480575561523e+00,8.142093420028686523e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.075334876775741577e-02,-2.720818903512167708e-09,4.811608418822288513e-02,8.002743870019912720e-02,-8.723470568656921387e-02,1.910282522439956665e-01,-1.193123012781143188e-01,-4.045163989067077637e-01,4.016936570405960083e-02,-6.736420094966888428e-02,-1.818828135728836060e-01,-8.178374171257019043e-02,-1.873727142810821533e-01,-5.094544962048530579e-02,-3.368865251541137695e-01,-1.192199662327766418e-01,2.030461467802524567e-02,-1.092755198478698730e-01,-6.485259160399436951e-03,3.850740939378738403e-02
-2.046946525573730469e+00,-2.220174551010131836e+00,8.219376802444458008e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.213879168033599854e-02,-6.802047640419583985e-12,4.950153082609176636e-02,7.989010959863662720e-02,-8.586807548999786377e-02,1.935906410217285156e-01,-1.216022446751594543e-01,-4.091979563236236572e-01,4.064712673425674438e-02,-6.681361049413681030e-02,-1.824631094932556152e-01,-8.304930478334426880e-02,-1.885881870985031128e-01,-5.569902807474136353e-02,-3.421006798744201660e-01,-1.233068406581878662e-01,1.993320696055889130e-02,-1.100079640746116638e-01,8.117970079183578491e-03,4.162539541721343994e-02
